name	x	y	z	size
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LA1	-17.9169	-7.56165	-18.0816825667998	n/a
LA2	-23.8616	-8.00602	-16.1840644756927	n/a
LA3	-29.2123	-7.70216	-16.0487763049963	n/a
LA4	-34.1691	-7.87009	-16.0786817694189	n/a
LA5	-40.2347	-7.22821	-15.3091031162167	n/a
LA6	-45.6646	-9.21664	-17.629066508213	n/a
LA7	-53.146	-11.7973	-19.5591083209036	n/a
LA8	-60.3796	-11.5135	-19.3197572393169	n/a
LB1	-25.933	-9.44078	-23.554343867236	n/a
LB10	-49.9122	-47.8321	-16.0919038399637	n/a
LB11	-54.17	-51.0081	-13.6251000804232	n/a
LB12	-58.5497	-53.4251	-12.6971078968053	n/a
LB2	-28.9327	-13.7506	-24.3363357999522	n/a
LB3	-32.5891	-18.536	-24.1240122104624	n/a
LB4	-35.9452	-22.2131	-21.5594206117306	n/a
LB5	-39.4802	-25.7204	-20.5683884167819	n/a
LB6	-42.1636	-29.4615	-19.7924772353234	n/a
LB7	-46.01	-33.7376	-20.3955918601827	n/a
LB8	-47.0434	-38.7092	-18.5000859985744	n/a
LB9	-47.7766	-43.9879	-17.820839489873	n/a
LC1	-34.7377	12.6018	-4.99528871809329	n/a
LC10	-24.0471	33.1425	34.5313562065858	n/a
LC11	-23.4435	35.1886	38.9908352509394	n/a
LC12	-20.5657	35.5853	45.9830485789802	n/a
LC2	-33.3113	13.5999	0.0474835136839132	n/a
LC3	-32.3633	15.2294	4.94111851517785	n/a
LC4	-30.6092	16.3962	10.8342173992763	n/a
LC5	-29.0407	18.3398	15.4990517704038	n/a
LC6	-26.6451	20.7943	19.8098389316262	n/a
LC7	-24.8928	23.679	23.4816523533521	n/a
LC8	-23.4328	26.4389	26.3780818531064	n/a
LC9	-23.6507	29.8285	30.6408441826097	n/a
LD1	-9.04135	41.4468	-2.28657900014209	n/a
LD10	-57.7063	44.7075	12.1199548465465	n/a
LD11	-63.0414	45.6485	14.4504209077978	n/a
LD12	-68.6363	46.4195	16.8101146153123	n/a
LD2	-14.9213	40.1031	-0.757718178152494	n/a
LD3	-20.3424	40.5139	-0.711189974483583	n/a
LD4	-26.7288	41.173	-0.162754327138583	n/a
LD5	-32.7851	42.8064	-0.0155961804902507	n/a
LD6	-38.5983	43.1978	1.4987221188935	n/a
LD7	-44.6644	44.168	5.23451078471237	n/a
LD8	-49.5989	43.9447	8.48550632791553	n/a
LD9	-54.189	43.955	10.5125472817269	n/a
LE1	-3.05048	25.0542	29.4129238467511	n/a
LE2	-10.8917	24.25	29.6190293511146	n/a
LE3	-16.2409	25.3909	29.5608494965607	n/a
LE4	-21.923	27.835	30.9318048058079	n/a
LE5	-27.186	30.0907	32.1130475972869	n/a
LE6	-31.8183	30.4747	35.6638378235876	n/a
LE7	-37.1934	29.6282	37.7043590468041	n/a
LE8	-41.9035	24.8125	41.5567566567313	n/a
LF1	-9.34179	37.6417	30.6612346232568	n/a
LF2	-13.9046	40.0949	33.1549215089587	n/a
LF3	-18.2901	41.8239	36.6252185519668	n/a
LF4	-23.3123	44.2815	39.4692701409706	n/a
LF5	-28.2666	46.0568	40.7639210364939	n/a
LF6	-33.2684	47.1419	43.6019489579826	n/a
LF7	-38.0121	48.2289	45.0087120538579	n/a
LF8	-42.1071	49.3605	46.3033293859274	n/a
LG1	-9.76156	35.3718	-23.5597503804655	n/a
LG10	-33.8543	50.6935	8.82895560415222	n/a
LG11	-35.988	52.157	15.5847792299045	n/a
LG12	-36.7812	54.6972	23.3801621571959	n/a
LG2	-10.9279	37.8871	-18.2502030775364	n/a
LG3	-14.3362	38.7301	-16.0968194426963	n/a
LG4	-16.668	40.2048	-12.8582427294769	n/a
LG5	-18.8499	40.8987	-8.98498643368718	n/a
LG6	-21.12	41.8269	-4.87291055931814	n/a
LG7	-23.2	43.7465	-2.18716610864248	n/a
LG8	-26.2158	45.8995	1.17312564340541	n/a
LG9	-30.5771	49.2243	3.14481244951175	n/a
LI1	-37.0801	13.9673	-40.4233674180243	n/a
LI10	-52.5999	-29.035	-23.6197718024749	n/a
LI11	-53.2479	-33.2949	-23.0116882185158	n/a
LI12	-51.3136	-38.5035	-22.9471581548442	n/a
LI2	-36.2873	7.83051	-36.7784745629845	n/a
LI3	-35.2372	1.92846	-36.0003686654953	n/a
LI4	-36.9017	-1.0549	-34.9113747828306	n/a
LI5	-40.2821	-3.90596	-33.1747019964818	n/a
LI6	-42.6409	-8.08978	-31.7411417092877	n/a
LI7	-46.2151	-15.87	-30.445507575606	n/a
LI8	-49.5852	-20.6299	-27.7887131324723	n/a
LI9	-51.5462	-24.8922	-25.7941679963963	n/a
RA1	20.9395	0.121352	-22.7739836452094	n/a
RA2	25.8267	-1.1446	-22.8428201974178	n/a
RA3	30.9691	-1.79792	-21.5790066686516	n/a
RA4	37.4158	-2.04288	-20.8850794380525	n/a
RA5	42.8056	-2.92953	-19.5365340521716	n/a
RA6	49.2992	-3.81268	-19.4144928841856	n/a
RA7	55.7258	-5.13611	-20.259711923286	n/a
RA8	61.6256	-6.11225	-21.1622271444517	n/a
RB1	23.8785	-12.7563	-24.4299600409089	n/a
RB2	29.0679	-16.7651	-23.4372777339764	n/a
RB3	32.5529	-19.5722	-21.814136815065	n/a
RB4	37.3545	-20.754	-17.9022691504783	n/a
RB5	42.4038	-23.1381	-14.8553839018999	n/a
RB6	46.6305	-26.2811	-13.1742268803007	n/a
RB7	51.6816	-29.9914	-12.6243433295884	n/a
RB8	57.589	-33.3829	-12.4534116121226	n/a
RC1	42.889	1.51768	-4.54834960323933	n/a
RC10	33.53	13.9164	39.7653816482336	n/a
RC11	31.4332	16.8106	42.5776313588335	n/a
RC12	29.3447	19.3609	47.5270498995126	n/a
RC2	42.6896	2.56593	1.26217129833758	n/a
RC3	41.5967	4.08924	6.5051514948007	n/a
RC4	39.6913	5.2889	11.285067368511	n/a
RC5	38.5145	5.90174	16.5394660062539	n/a
RC6	36.1956	7.72428	21.3374805041177	n/a
RC7	34.0739	8.83433	24.1258484438777	n/a
RC8	33.8078	10.2563	29.9443587175076	n/a
RC9	34.4686	11.6003	35.4109667785004	n/a
RD1	10.8854	40.2295	-2.28018053702015	n/a
RD10	61.384	34.2351	-3.70481338818072	n/a
RD11	66.3823	33.7005	-4.0686710080662	n/a
RD12	70.4639	33.3936	-4.55121204882217	n/a
RD2	16.5432	38.9056	-1.74133951355199	n/a
RD3	21.6493	37.7799	-1.82280615912707	n/a
RD4	27.1585	36.7981	-2.31854435892885	n/a
RD5	33.4968	36.9317	-3.77813059382617	n/a
RD6	40.9465	37.6897	-1.81990185091361	n/a
RD7	45.7397	35.9152	0.0223430650121141	n/a
RD8	51.5463	33.7298	-1.86531498822347	n/a
RD9	56.8513	33.9216	-3.20228359971702	n/a
RE1	7.93069	21.0284	31.6718130024171	n/a
