name	x	y	z	size
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LB01	-23.5607	-2.02001	-23.0979153	n/a
LB02	-29.0244	-1.58279	-25.16700078	n/a
LB03	-34.6073	-0.0966837	-28.41090872	n/a
LB04	-39.9206	1.24588	-29.09017637	n/a
LB05	-44.4063	2.74596	-29.32811948	n/a
LB06	-49.5992	5.33802	-29.02808471	n/a
LB07	-55.2544	7.95807	-28.98306679	n/a
LB08	-60.3793	7.54882	-30.32729912	n/a
LB09	-64.4696	7.34007	-31.6052892	n/a
LB10	-69.6255	7.25064	-32.94961756	n/a
LB11	-73.7756	8.09813	-33.68440967	n/a
LB12	-78.4035	9.05518	-34.38416584	n/a
LD01	-44.036	11.9778	-12.24512397	n/a
LD02	-45.0336	11.2387	-6.855326499	n/a
LD03	-43.9731	10.3624	-2.435580462	n/a
LD04	-41.9639	8.15671	2.17939156	n/a
LD05	-42.4622	6.57158	9.42321373	n/a
LD06	-41.4573	6.60196	15.22394102	n/a
LD07	-41.1452	5.15269	20.52686528	n/a
LD08	-41.0364	3.8537	25.22571699	n/a
LD09	-40.0423	0.811657	30.11523151	n/a
LD10	-39.481	2.62184	35.0470546	n/a
LD11	-40.6834	4.95575	39.72229035	n/a
LD12	-41.3861	9.02626	44.15085407	n/a
LE01	-35.8919	-10.9473	5.540758536	n/a
LE02	-33.8691	-11.63	11.07302916	n/a
LE03	-32.3481	-12.9034	17.14076814	n/a
LE04	-31.4124	-13.9448	23.03450442	n/a
LE05	-30.2147	-15.1165	29.47058855	n/a
LE06	-29.5112	-14.6863	34.04172108	n/a
LE07	-28.8236	-14.5245	40.75905567	n/a
LE08	-28.6948	-13.4069	45.91506511	n/a
LE09	-29.0971	-15.9464	52.5634089	n/a
LE10	-28.7071	-19.1466	56.87781263	n/a
LE11	-27.3011	-19.6935	63.43953946	n/a
LE12	-25.262	-19.8305	70.49064828	n/a
LF01	-46.8132	1.20738	28.00141464	n/a
LF02	-51.1528	1.54644	28.22427033	n/a
LF03	-57.0835	2.09425	27.31583709	n/a
LF04	-61.4871	1.14786	26.71310603	n/a
LF05	-65.9476	0.801192	25.0797632	n/a
LF06	-70.0853	-0.342943	23.24101848	n/a
LF07	-75.2342	-1.72769	21.64451298	n/a
LF08	-80.3572	-2.98711	20.45992328	n/a
LG01	-3.98029	17.7748	52.25818184	n/a
LG02	-6.25219	19.0815	56.03674533	n/a
LG03	-9.49994	19.7256	60.65402105	n/a
LG04	-14.2328	20.0803	65.50593124	n/a
LG05	-17.5888	19.458	69.65528511	n/a
LG06	-19.9937	19.2655	74.58070364	n/a
LG07	-22.7905	19.256	79.47622482	n/a
LG08	-25.1059	19.3705	84.36145576	n/a
LH01	-3.58615	2.04062	52.90675544	n/a
LH02	-9.57223	1.4256	51.83808242	n/a
LH03	-16.0491	1.31624	51.02157255	n/a
LH04	-22.3415	0.892843	51.66254588	n/a
LH05	-26.8686	0.408577	50.9529146	n/a
LH06	-33.2396	1.87357	49.04845025	n/a
LH07	-39.1257	3.81414	48.12919555	n/a
LH08	-43.2791	5.14521	46.87949095	n/a
LI01	-5.85618	-2.85765	33.17924145	n/a
LI02	-12.139	-1.90886	33.39576175	n/a
LI03	-17.0933	-1.74356	34.24111348	n/a
LI04	-21.686	-1.44491	34.89213489	n/a
LI05	-26.0617	-1.55484	33.42452259	n/a
LI06	-30.9179	-2.83442	32.40814038	n/a
LI07	-35.875	-2.76989	31.7074764	n/a
LI08	-42.5939	0.731706	33.86952957	n/a
LI09	-47.2921	2.56542	35.78786974	n/a
LI10	-51.9328	3.62239	37.07409786	n/a
LJ01	-2.41721	-47.3611	27.94801833	n/a
LJ02	-7.68918	-49.0856	28.07024394	n/a
LJ03	-12.5537	-50.1562	28.04729005	n/a
LJ04	-17.2228	-51.4019	26.97252326	n/a
LJ05	-22.3891	-51.9156	25.82669392	n/a
LJ06	-28.2761	-52.5531	25.80996686	n/a
LJ07	-35.3042	-52.7915	26.05826395	n/a
LJ08	-40.7978	-53.6492	25.04146825	n/a
LJ09	-44.1438	-54.6835	24.52640416	n/a
LJ10	-48.2478	-56.3214	23.87184659	n/a
LJ11	-52.9856	-56.8643	22.10560213	n/a
LJ12	-57.9545	-57.5943	21.43376726	n/a
LK01	-36.0514	-26.4139	43.59974974	n/a
LK02	-39.0711	-28.3802	49.62825233	n/a
LK03	-41.5339	-29.4031	55.31107448	n/a
LK04	-42.6453	-32.8957	61.74873588	n/a
LK05	-42.5577	-33.8144	65.96974646	n/a
LK06	-41.303	-32.228	72.81465297	n/a
LK07	-41.5877	-29.7031	78.39039219	n/a
LK08	-41.515	-28.1575	84.88543458	n/a
LL01	-34.3433	-34.3189	41.52588715	n/a
LL02	-36.7938	-34.8737	47.16951679	n/a
LL03	-38.6599	-37.4567	52.00025981	n/a
LL04	-40.3114	-42.4449	56.23724661	n/a
LL05	-39.4233	-47.4758	64.43505796	n/a
LL06	-38.4959	-45.362	71.10119881	n/a
LL07	-37.3476	-43.5098	77.42002476	n/a
LL08	-37.0575	-42.5647	83.14055028	n/a
LM01	-3.65977	-70.9242	36.55577761	n/a
LM02	-10.5438	-70.5914	38.93425976	n/a
LM03	-16.7828	-69.04	40.92226051	n/a
LM04	-22.6386	-67.9644	40.59458948	n/a
LM05	-28.0555	-68.1281	38.62725711	n/a
LM06	-33.1816	-67.6715	37.32816359	n/a
LM07	-37.1075	-67.2196	36.35074302	n/a
LM08	-40.9858	-66.1819	35.19743882	n/a
LM09	-45.4693	-65.4066	34.79533373	n/a
LM10	-49.7624	-64.9596	32.89681161	n/a
LM11	-54.3635	-65.2302	32.48985085	n/a
RB01	22.1377	-10.1074	-26.54815779	n/a
RB02	26.7789	-9.4811	-26.34708228	n/a
RB03	32.4237	-10.6235	-27.5786025	n/a
RB04	36.4075	-11.2049	-30.37819335	n/a
RB05	41.088	-10.8709	-30.03172255	n/a
RB06	48.8099	-8.38937	-28.66380477	n/a
RB07	54.935	-8.54211	-28.98147919	n/a
RB08	61.2487	-8.09441	-30.39257733	n/a
RD01	36.0577	13.3793	28.76089012	n/a
RD02	39.93	16.0653	30.52338128	n/a
RD03	44.4719	17.6593	30.93822379	n/a
RD04	50.5858	19.2452	30.1780018	n/a
RD05	53.9463	21.0637	31.69650061	n/a
RD06	55.5824	23.9056	33.21361337	n/a
RD08	61.7548	29.9348	33.82082192	n/a
RE01	24.5298	-49.8737	21.14915162	n/a
RE02	36.4199	-48.8712	16.92743229	n/a
RE03	48.0099	-46.6911	11.43666618	n/a
RE04	57.8488	-44.3323	7.624332286	n/a
RE05	67.2585	-44.282	9.338178183	n/a
RE06	72.5822	-44.9206	9.139486379	n/a
RE07	78.6529	-44.5556	8.983833699	n/a
RE08	83.6875	-42.8512	8.012652343	n/a
RE09	n/a	n/a	n/a	n/a
RE10	n/a	n/a	n/a	n/a
